categoria,score,type,name
Comedia,7.21,TV Special,Lupin III: Chi no Kokuin - Eien no Mermaid
Acción y Aventura,7.21,TV Special,Lupin III: Chi no Kokuin - Eien no Mermaid
Fantásticos y Experimentales,7.21,TV,Gundam Build Fighters Try
Acción y Aventura,7.21,TV,Gundam Build Fighters Try
Comedia,7.21,TV,Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai
Íntimos y Adultos,7.21,TV,Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai
Acción y Aventura,7.21,TV,Darwin's Game
Misterio y Terror,7.21,TV,Darwin's Game
Emocionales y Humanistas,7.21,OVA,Ookami Shoujo to Kuro Ouji: Gishinanki – Happening Kiss
Comedia,7.21,OVA,Ookami Shoujo to Kuro Ouji: Gishinanki – Happening Kiss
Fantásticos y Experimentales,7.21,OVA,Hunter x Hunter Pilot
Acción y Aventura,7.21,OVA,Hunter x Hunter Pilot
Emocionales y Humanistas,7.21,TV,Young Black Jack
Fantásticos y Experimentales,7.21,OVA,Kidou Senshi Gundam 0083: Stardust Memory
Emocionales y Humanistas,7.21,OVA,Kidou Senshi Gundam 0083: Stardust Memory
Acción y Aventura,7.21,OVA,Kidou Senshi Gundam 0083: Stardust Memory
Acción y Aventura,7.21,OVA,Boku no Hero Academia: Sukue! Kyuujo Kunren!
Acción y Aventura,7.21,TV,Gamba no Bouken
Misterio y Terror,7.21,TV,Gamba no Bouken
Comedia,7.21,ONA,Inferno Cop
Acción y Aventura,7.21,ONA,Inferno Cop
Emocionales y Humanistas,7.21,Movie,Mai Mai Shinko to Sennen no Mahou
Acción y Aventura,7.21,Movie,Mai Mai Shinko to Sennen no Mahou
Misterio y Terror,7.21,Special,Kara no Kyoukai Movie 8: Shuushou
Emocionales y Humanistas,7.21,OVA,Amagami SS OVA
Comedia,7.21,TV,Kiratto Pri☆chan Season 3
Acción y Aventura,7.21,Movie,Ajin Part 2: Shoutotsu
Misterio y Terror,7.21,Movie,Ajin Part 2: Shoutotsu
Acción y Aventura,7.21,TV,Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen
Misterio y Terror,7.21,TV,Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen
Fantásticos y Experimentales,7.21,TV,Meikyuu Black Company
Comedia,7.21,TV,Meikyuu Black Company
Comedia,7.21,Special,Kuroko no Basket: Oshaberi Demo Shimasen ka
Acción y Aventura,7.21,Special,Kuroko no Basket: Oshaberi Demo Shimasen ka
Emocionales y Humanistas,7.21,ONA,Yeon-ae Halujeon
Fantásticos y Experimentales,7.21,Movie,Crayon Shin-chan Movie 12: Arashi wo Yobu! Yuuhi no Kasukabe Boys
Comedia,7.21,Movie,Crayon Shin-chan Movie 12: Arashi wo Yobu! Yuuhi no Kasukabe Boys
Acción y Aventura,7.21,Movie,Crayon Shin-chan Movie 12: Arashi wo Yobu! Yuuhi no Kasukabe Boys
Emocionales y Humanistas,7.21,Movie,Michi (Movie)
Comedia,7.21,Special,Amagi Brilliant Park: Nonbirishiteiru Hima ga Nai!
Acción y Aventura,7.21,Special,Amagi Brilliant Park: Nonbirishiteiru Hima ga Nai!
Acción y Aventura,7.21,TV,Miracle Giants Doumu-kun
Emocionales y Humanistas,7.21,Movie,Harmonie
Fantásticos y Experimentales,7.21,Movie,Hokuto no Ken Movie
Emocionales y Humanistas,7.21,Movie,Hokuto no Ken Movie
Acción y Aventura,7.21,Movie,Hokuto no Ken Movie
Emocionales y Humanistas,7.21,TV,Saiyuuki Reload Blast
Comedia,7.21,TV,Saiyuuki Reload Blast
Acción y Aventura,7.21,TV,Saiyuuki Reload Blast
Comedia,7.21,TV,Kinnikuman
Acción y Aventura,7.21,TV,Kinnikuman
Fantásticos y Experimentales,7.21,OVA,Saiyuuki Gaiden: Kouga no Shou
Emocionales y Humanistas,7.21,OVA,Saiyuuki Gaiden: Kouga no Shou
Acción y Aventura,7.21,OVA,Saiyuuki Gaiden: Kouga no Shou
Fantásticos y Experimentales,7.21,TV,Tales of Zestiria the Cross
Acción y Aventura,7.21,TV,Tales of Zestiria the Cross
Íntimos y Adultos,7.21,TV,Inukami!
Emocionales y Humanistas,7.21,TV,Inukami!
Comedia,7.21,TV,Inukami!
Acción y Aventura,7.21,TV,Inukami!
Fantásticos y Experimentales,7.21,TV,Arabian Nights: Sindbad no Bouken (TV)
Emocionales y Humanistas,7.21,TV,Arabian Nights: Sindbad no Bouken (TV)
Acción y Aventura,7.21,TV,Arabian Nights: Sindbad no Bouken (TV)
Emocionales y Humanistas,7.21,Movie,Air Movie
Acción y Aventura,7.21,Movie,Air Movie
Fantásticos y Experimentales,7.21,Movie,Doraemon Movie 05: Nobita no Makai Daibouken
Fantásticos y Experimentales,7.21,Movie,Doraemon: Nobita's the Night Before a Wedding
Fantásticos y Experimentales,7.21,TV,Mahoutsukai ni Taisetsu na Koto: Natsu no Sora
Emocionales y Humanistas,7.21,TV,Mahoutsukai ni Taisetsu na Koto: Natsu no Sora
Emocionales y Humanistas,7.21,TV,Mermaid Melody Pichi Pichi Pitch
Fantásticos y Experimentales,7.21,TV,Hitsugi no Chaika
Emocionales y Humanistas,7.21,TV,Hitsugi no Chaika
Acción y Aventura,7.21,TV,Hitsugi no Chaika
Fantásticos y Experimentales,7.21,Special,Saiunkoku Monogatari Recaps
Emocionales y Humanistas,7.21,Special,Saiunkoku Monogatari Recaps
Acción y Aventura,7.21,Special,Saiunkoku Monogatari Recaps
Fantásticos y Experimentales,7.21,OVA,Robot Carnival
Fantásticos y Experimentales,7.21,TV,Canaan
Acción y Aventura,7.21,TV,Canaan
Misterio y Terror,7.21,TV,Canaan
Fantásticos y Experimentales,7.21,TV,Toaru Kagaku no Accelerator
Acción y Aventura,7.21,TV,Toaru Kagaku no Accelerator
Acción y Aventura,7.21,OVA,Boku no Hero Academia: Training of the Dead
Íntimos y Adultos,7.21,TV,Midori no Hibi
Emocionales y Humanistas,7.21,TV,Midori no Hibi
Comedia,7.21,TV,Midori no Hibi
Acción y Aventura,7.21,TV,Midori no Hibi
Fantásticos y Experimentales,7.21,TV,Abenobashi Mahou☆Shoutengai
Comedia,7.21,TV,Abenobashi Mahou☆Shoutengai
Íntimos y Adultos,7.21,TV,Abenobashi Mahou☆Shoutengai
Fantásticos y Experimentales,7.21,Movie,Tibet Inu Monogatari
Emocionales y Humanistas,7.21,Movie,Tibet Inu Monogatari
Acción y Aventura,7.21,Movie,Tibet Inu Monogatari
Emocionales y Humanistas,7.21,TV,Fuujin Monogatari
Acción y Aventura,7.21,TV,Fuujin Monogatari
Emocionales y Humanistas,7.21,ONA,Super Crooks
Acción y Aventura,7.21,ONA,Super Crooks
Misterio y Terror,7.21,ONA,Super Crooks
Fantásticos y Experimentales,7.21,Movie,Saint Seiya: Tenkai-hen Josou - Overture
Acción y Aventura,7.21,Movie,Saint Seiya: Tenkai-hen Josou - Overture
Fantásticos y Experimentales,7.21,Movie,Saint Seiya: Shinku no Shounen Densetsu
Acción y Aventura,7.21,Movie,Saint Seiya: Shinku no Shounen Densetsu
Misterio y Terror,7.21,TV,Selector Infected WIXOSS
Emocionales y Humanistas,7.21,TV,Mayo Chiki!
Comedia,7.21,TV,Mayo Chiki!
Íntimos y Adultos,7.21,TV,Mayo Chiki!
Fantásticos y Experimentales,7.2,ONA,Chao Neng Lifang: Chaofan Pian
Acción y Aventura,7.2,ONA,Chao Neng Lifang: Chaofan Pian
Comedia,7.2,TV,Puniru wa Kawaii Slime 2nd Season
Fantásticos y Experimentales,7.2,ONA,Wu Lian Dianfeng
Acción y Aventura,7.2,ONA,Wu Lian Dianfeng
Fantásticos y Experimentales,7.2,TV,Tasokare Hotel
Misterio y Terror,7.2,TV,Tasokare Hotel
Fantásticos y Experimentales,7.2,TV,Atri: My Dear Moments
Emocionales y Humanistas,7.2,TV,Atri: My Dear Moments
Comedia,7.2,TV,"Tearmoon Teikoku Monogatari: Dantoudai kara Hajimaru, Hime no Tensei Gyakuten Story"
Íntimos y Adultos,7.2,OVA,Tsumamigui 3 The Animation
Emocionales y Humanistas,7.2,Special,Uta no☆Prince-sama♪ Maji Love 2000%: Shining Star Xmas
Comedia,7.2,Special,Uta no☆Prince-sama♪ Maji Love 2000%: Shining Star Xmas
Emocionales y Humanistas,7.2,TV,Moyashimon Returns
Comedia,7.2,TV,Moyashimon Returns
Acción y Aventura,7.2,TV,Moyashimon Returns
Acción y Aventura,7.2,Movie,Code Geass: Boukoku no Akito 4 - Nikushimi no Kioku kara
Íntimos y Adultos,7.2,Special,Grisaia no Meikyuu: Caprice no Mayu 0 - Takizono Basketball Club no Nama Cream Party!
Fantásticos y Experimentales,7.2,TV,Haiyore! Nyaruko-san W
Comedia,7.2,TV,Haiyore! Nyaruko-san W
Misterio y Terror,7.2,OVA,Higurashi no Naku Koro ni Kaku: Outbreak
Fantásticos y Experimentales,7.2,OVA,"Tokyo Ghoul: ""Pinto"""
Acción y Aventura,7.2,OVA,"Tokyo Ghoul: ""Pinto"""
Misterio y Terror,7.2,OVA,"Tokyo Ghoul: ""Pinto"""
Fantásticos y Experimentales,7.2,TV,Accel World
Emocionales y Humanistas,7.2,TV,Accel World
Acción y Aventura,7.2,TV,Accel World
Acción y Aventura,7.2,Movie,"Donten ni Warau Gaiden: Ouka, Tenbou no Kakehashi"
Emocionales y Humanistas,7.2,TV,Mainichi Kaasan
Comedia,7.2,TV,Mainichi Kaasan
Fantásticos y Experimentales,7.2,ONA,Wan Jie Xian Zong 3rd Season
Emocionales y Humanistas,7.2,ONA,Wan Jie Xian Zong 3rd Season
Acción y Aventura,7.2,ONA,Wan Jie Xian Zong 3rd Season
Emocionales y Humanistas,7.2,Movie,"Wake Up, Girls! Beyond the Bottom"
Comedia,7.2,Movie,Ojamajo Doremi Sharp Movie
Fantásticos y Experimentales,7.2,TV,Super Robot Taisen OG: The Inspector
Acción y Aventura,7.2,TV,Super Robot Taisen OG: The Inspector
Comedia,7.2,Special,Tegamibachi Gakuen
Fantásticos y Experimentales,7.2,TV,Cybersix
Emocionales y Humanistas,7.2,TV,Cybersix
Acción y Aventura,7.2,TV,Cybersix
Fantásticos y Experimentales,7.2,TV,Mahou no Tenshi Creamy Mami
Emocionales y Humanistas,7.2,TV,Mahou no Tenshi Creamy Mami
Comedia,7.2,TV,Mahou no Tenshi Creamy Mami
Comedia,7.2,OVA,Tengen Toppa Gurren Lagann Movie Zenyasai: Viral no Amai Yume
Comedia,7.2,Special,Takanashi Rikka Kai: Chuunibyou demo Koi ga Shitai! Movie Lite
Emocionales y Humanistas,7.2,TV,Shin Chou Kyou Ryo: Condor Hero III
Acción y Aventura,7.2,TV,Shin Chou Kyou Ryo: Condor Hero III
Misterio y Terror,7.2,TV,Higurashi no Naku Koro ni Gou
Fantásticos y Experimentales,7.2,TV,Darling in the FranXX
Emocionales y Humanistas,7.2,TV,Darling in the FranXX
Acción y Aventura,7.2,TV,Darling in the FranXX
Íntimos y Adultos,7.2,TV,Needless
Fantásticos y Experimentales,7.2,TV,Needless
Comedia,7.2,TV,Needless
Acción y Aventura,7.2,TV,Needless
Emocionales y Humanistas,7.2,TV Special,Black Jack Specials: Inochi wo Meguru Yottsu no Kiseki
Fantásticos y Experimentales,7.2,TV,Zero no Tsukaima
Emocionales y Humanistas,7.2,TV,Zero no Tsukaima
Íntimos y Adultos,7.2,TV,Zero no Tsukaima
Comedia,7.2,TV,Zero no Tsukaima
Acción y Aventura,7.2,TV,Zero no Tsukaima
Acción y Aventura,7.2,Special,Shaman King Specials
Emocionales y Humanistas,7.2,Movie,Red Shoes
Comedia,7.2,Movie,Red Shoes
Fantásticos y Experimentales,7.2,Movie,Dead Leaves
Comedia,7.2,Movie,Dead Leaves
Acción y Aventura,7.2,Movie,Dead Leaves
Fantásticos y Experimentales,7.2,OVA,Soukou Kihei Votoms: Pailsen Files
Emocionales y Humanistas,7.2,Special,"Love Hina: Motoko no Sentaku, Koi ka Ken... ""Naku na"""
Fantásticos y Experimentales,7.2,TV,Witchblade
Emocionales y Humanistas,7.2,TV,Witchblade
Acción y Aventura,7.2,TV,Witchblade
Emocionales y Humanistas,7.2,TV,Tobe! Isami
Comedia,7.2,TV,Tobe! Isami
Acción y Aventura,7.2,TV,Tobe! Isami
Emocionales y Humanistas,7.2,TV,Arte
Comedia,7.2,TV,Lupin III: Part 6
Acción y Aventura,7.2,TV,Lupin III: Part 6
Misterio y Terror,7.2,TV,Lupin III: Part 6
Fantásticos y Experimentales,7.2,Movie,Re:cycle of the Penguindrum
Emocionales y Humanistas,7.2,Movie,Re:cycle of the Penguindrum
Comedia,7.2,Movie,Re:cycle of the Penguindrum
Acción y Aventura,7.2,Movie,Re:cycle of the Penguindrum
Misterio y Terror,7.2,Movie,Re:cycle of the Penguindrum
Emocionales y Humanistas,7.2,TV,Housekishou Richard-shi no Nazo Kantei
Misterio y Terror,7.2,TV,Housekishou Richard-shi no Nazo Kantei
Fantásticos y Experimentales,7.2,TV,Goblin Slayer II
Acción y Aventura,7.2,TV,Goblin Slayer II
Fantásticos y Experimentales,7.2,OVA,Soukou Kihei Votoms: Red Shoulder Document - Yabou no Roots
Emocionales y Humanistas,7.2,OVA,Soukou Kihei Votoms: Red Shoulder Document - Yabou no Roots
Fantásticos y Experimentales,7.2,TV,Dr. Slump: Arale-chan
Comedia,7.2,TV,Dr. Slump: Arale-chan
Fantásticos y Experimentales,7.2,TV,Akuyaku Reijou nanode Last Boss wo Kattemimashita
Emocionales y Humanistas,7.2,TV,Akuyaku Reijou nanode Last Boss wo Kattemimashita
Comedia,7.2,TV,Akuyaku Reijou nanode Last Boss wo Kattemimashita
Emocionales y Humanistas,7.2,TV,El Cazador de la Bruja
Acción y Aventura,7.2,TV,El Cazador de la Bruja
Misterio y Terror,7.2,TV,El Cazador de la Bruja
Emocionales y Humanistas,7.2,TV,Spiral: Suiri no Kizuna
Misterio y Terror,7.2,TV,Spiral: Suiri no Kizuna
Fantásticos y Experimentales,7.2,Movie,Kanashimi no Belladonna
Emocionales y Humanistas,7.2,Movie,Kanashimi no Belladonna
Fantásticos y Experimentales,7.2,TV,Groove Adventure Rave
Emocionales y Humanistas,7.2,TV,Groove Adventure Rave
Comedia,7.2,TV,Groove Adventure Rave
Acción y Aventura,7.2,TV,Groove Adventure Rave
Fantásticos y Experimentales,7.2,ONA,Zi Chuan
Acción y Aventura,7.2,ONA,Zi Chuan
Emocionales y Humanistas,7.2,OVA,Love Hina Again
Comedia,7.2,OVA,Love Hina Again
Íntimos y Adultos,7.2,OVA,Love Hina Again
Fantásticos y Experimentales,7.2,Movie,Pokemon Movie 21: Minna no Monogatari
Comedia,7.2,Movie,Pokemon Movie 21: Minna no Monogatari
Acción y Aventura,7.2,Movie,Pokemon Movie 21: Minna no Monogatari
Fantásticos y Experimentales,7.2,Movie,Yaneura no Rudger
Fantásticos y Experimentales,7.2,ONA,Binghuo Mochu
Acción y Aventura,7.2,ONA,Binghuo Mochu
Acción y Aventura,7.2,TV,Ginga e Kickoff!!
Fantásticos y Experimentales,7.2,OVA,Cyber City Oedo 808
Acción y Aventura,7.2,OVA,Cyber City Oedo 808
Fantásticos y Experimentales,7.2,TV,Fate/Apocrypha
Acción y Aventura,7.2,TV,Fate/Apocrypha
Íntimos y Adultos,7.2,ONA,Ling Qi
Comedia,7.2,ONA,Ling Qi
Acción y Aventura,7.2,ONA,Ling Qi
Fantásticos y Experimentales,7.2,Movie,Tenchi Muyou! in Love 2: Harukanaru Omoi
Emocionales y Humanistas,7.2,Movie,Tenchi Muyou! in Love 2: Harukanaru Omoi
Fantásticos y Experimentales,7.2,TV,Nagasarete Airantou
Emocionales y Humanistas,7.2,TV,Nagasarete Airantou
Comedia,7.2,TV,Nagasarete Airantou
Íntimos y Adultos,7.2,TV,Nagasarete Airantou
Emocionales y Humanistas,7.2,TV,"Ijiranaide, Nagatoro-san"
Comedia,7.2,TV,"Ijiranaide, Nagatoro-san"
Emocionales y Humanistas,7.2,Movie,Zutto Mae kara Suki deshita. Kokuhaku Jikkou Iinkai
Fantásticos y Experimentales,7.19,ONA,Shixiong A Shixiong 3rd Season
Acción y Aventura,7.19,ONA,Shixiong A Shixiong 3rd Season
Fantásticos y Experimentales,7.19,ONA,Benghuai: Xing Qiong Tiedao - The Herta De Mofa Chufang
Emocionales y Humanistas,7.19,ONA,Benghuai: Xing Qiong Tiedao - The Herta De Mofa Chufang
Fantásticos y Experimentales,7.19,TV,Ishura 2nd Season
Acción y Aventura,7.19,TV,Ishura 2nd Season
Acción y Aventura,7.19,TV,Lazarus
Misterio y Terror,7.19,TV,Lazarus
Fantásticos y Experimentales,7.19,Movie,SSSS.Gridman Movie
Acción y Aventura,7.19,Movie,SSSS.Gridman Movie
Fantásticos y Experimentales,7.19,ONA,Hua Jianghu: Bu Liang Ren VI
Emocionales y Humanistas,7.19,ONA,Hua Jianghu: Bu Liang Ren VI
Acción y Aventura,7.19,ONA,Hua Jianghu: Bu Liang Ren VI
Comedia,7.19,TV,Yoru wa Neko to Issho
Acción y Aventura,7.19,ONA,Zuoshou Shanglan
Íntimos y Adultos,7.19,OVA,Honoo no Haramase Oppai: Ero Appli Gakuen The Animation
Íntimos y Adultos,7.19,OVA,Fella Hame Lips
Íntimos y Adultos,7.19,OVA,Stringendo+Accelerando Ultimatum Sera
Fantásticos y Experimentales,7.19,TV,Date A Live III
Emocionales y Humanistas,7.19,TV,Date A Live III
Acción y Aventura,7.19,TV,Date A Live III
Fantásticos y Experimentales,7.19,ONA,One Piece Film: Gold Episode 0 - 711 ver.
Comedia,7.19,ONA,One Piece Film: Gold Episode 0 - 711 ver.
Acción y Aventura,7.19,ONA,One Piece Film: Gold Episode 0 - 711 ver.
Misterio y Terror,7.19,Movie,Selector Destructed WIXOSS Movie
Emocionales y Humanistas,7.19,Special,Amagami SS+ Plus: Extra Episode+ Plus
Comedia,7.19,ONA,Hetalia: The World Twinkle
Comedia,7.19,Movie,Crayon Shin-chan Movie 23: Ora no Hikkoshi Monogatari - Saboten Daishuugeki
Acción y Aventura,7.19,Movie,Crayon Shin-chan Movie 23: Ora no Hikkoshi Monogatari - Saboten Daishuugeki
Comedia,7.19,ONA,Plastic Neesan
Acción y Aventura,7.19,Movie,K: Seven Stories Movie 6 - Circle Vision - Nameless Song
Emocionales y Humanistas,7.19,OVA,Sankarea OVA
Íntimos y Adultos,7.19,OVA,Sankarea OVA
Comedia,7.19,OVA,Sankarea OVA
Acción y Aventura,7.19,OVA,Sankarea OVA
Misterio y Terror,7.19,OVA,Sankarea OVA
Acción y Aventura,7.19,TV,Souten Kouro
Emocionales y Humanistas,7.19,OVA,Super Lovers OVA
Comedia,7.19,OVA,Super Lovers OVA
Íntimos y Adultos,7.19,OVA,Super Lovers OVA
Emocionales y Humanistas,7.19,ONA,Gwahoheub
Íntimos y Adultos,7.19,ONA,Gwahoheub
Misterio y Terror,7.19,TV,Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation
Emocionales y Humanistas,7.19,TV,Nogizaka Haruka no Himitsu
Comedia,7.19,TV,Nogizaka Haruka no Himitsu
Comedia,7.19,Movie,Motto! Ojamajo Doremi: Kaeru Ishi no Himitsu
Fantásticos y Experimentales,7.19,OVA,Irregular Hunter X: The Day of Sigma
Acción y Aventura,7.19,OVA,Irregular Hunter X: The Day of Sigma
Acción y Aventura,7.19,Movie,Healin' Good♡Precure Movie: Yume no Machi de Kyun! Tto GoGo! Daihenshin!!
Emocionales y Humanistas,7.19,ONA,Yeon-ae Halujeon Zero
Fantásticos y Experimentales,7.19,Movie,Junk Head
Comedia,7.19,Movie,Junk Head
Acción y Aventura,7.19,Movie,Junk Head
Misterio y Terror,7.19,Movie,Junk Head
Fantásticos y Experimentales,7.19,TV Special,Kidou Senshi Gundam SEED Destiny Special Edition
Emocionales y Humanistas,7.19,TV Special,Kidou Senshi Gundam SEED Destiny Special Edition
Acción y Aventura,7.19,TV Special,Kidou Senshi Gundam SEED Destiny Special Edition
Fantásticos y Experimentales,7.19,TV,Sentou Mecha Xabungle
Acción y Aventura,7.19,TV,Sentou Mecha Xabungle
Íntimos y Adultos,7.19,TV,Uragiri wa Boku no Namae wo Shitteiru
Emocionales y Humanistas,7.19,TV,Uragiri wa Boku no Namae wo Shitteiru
Acción y Aventura,7.19,TV,Uragiri wa Boku no Namae wo Shitteiru
Comedia,7.19,OVA,Meitantei Conan OVA 08: Joshikousei Tantei Suzuki Sonoko no Jikenbo
Misterio y Terror,7.19,OVA,Meitantei Conan OVA 08: Joshikousei Tantei Suzuki Sonoko no Jikenbo
Emocionales y Humanistas,7.19,Movie,Kaijuu no Kodomo
Acción y Aventura,7.19,Movie,Kaijuu no Kodomo
Misterio y Terror,7.19,Movie,Kaijuu no Kodomo
Comedia,7.19,ONA,Chuunibyou demo Koi ga Shitai! Ren Lite
Comedia,7.19,TV,Futari wa Precure: Splash☆Star
Acción y Aventura,7.19,TV,Futari wa Precure: Splash☆Star
Comedia,7.19,TV,Fate/kaleid liner Prisma☆Illya 2wei!
Acción y Aventura,7.19,TV,Fate/kaleid liner Prisma☆Illya 2wei!
Emocionales y Humanistas,7.19,TV,"Inari, Konkon, Koi Iroha."
Comedia,7.19,TV,"Inari, Konkon, Koi Iroha."
Acción y Aventura,7.19,TV,"Inari, Konkon, Koi Iroha."
Emocionales y Humanistas,7.19,TV,Hakushaku to Yousei
Acción y Aventura,7.19,TV,Hakushaku to Yousei
Fantásticos y Experimentales,7.19,OVA,Saber Marionette J Again
Emocionales y Humanistas,7.19,OVA,Saber Marionette J Again
Comedia,7.19,OVA,Saber Marionette J Again
Acción y Aventura,7.19,OVA,Saber Marionette J Again
Comedia,7.19,Movie,Doraemon Movie 01: Nobita no Kyouryuu
Acción y Aventura,7.19,Movie,Doraemon Movie 01: Nobita no Kyouryuu
Fantásticos y Experimentales,7.19,TV,Figure 17: Tsubasa & Hikaru
Emocionales y Humanistas,7.19,TV,Figure 17: Tsubasa & Hikaru
Acción y Aventura,7.19,OVA,Seimei no Kagaku: Micro Patrol
Fantásticos y Experimentales,7.19,OVA,Sentou Yousei Yukikaze
Emocionales y Humanistas,7.19,OVA,Sentou Yousei Yukikaze
Acción y Aventura,7.19,OVA,Sentou Yousei Yukikaze
Misterio y Terror,7.19,OVA,Sentou Yousei Yukikaze
Comedia,7.19,ONA,Saiki Kusuo no Ψ-nan (ONA)
Emocionales y Humanistas,7.19,Special,Sankarea: Wagahai mo... Zombie de Aru...
Íntimos y Adultos,7.19,Special,Sankarea: Wagahai mo... Zombie de Aru...
Comedia,7.19,Special,Sankarea: Wagahai mo... Zombie de Aru...
Acción y Aventura,7.19,Special,Sankarea: Wagahai mo... Zombie de Aru...
Misterio y Terror,7.19,Special,Sankarea: Wagahai mo... Zombie de Aru...
Fantásticos y Experimentales,7.19,TV,Madou King Granzort
Comedia,7.19,TV,Madou King Granzort
Acción y Aventura,7.19,TV,Madou King Granzort
Fantásticos y Experimentales,7.19,TV,Toushou Daimos
Emocionales y Humanistas,7.19,TV,Toushou Daimos
Acción y Aventura,7.19,TV,Toushou Daimos
Emocionales y Humanistas,7.19,Special,Bleach: Memories in the Rain
Acción y Aventura,7.19,Special,Bleach: Memories in the Rain
Comedia,7.19,TV,Zoids Genesis
Acción y Aventura,7.19,TV,Zoids Genesis
Fantásticos y Experimentales,7.19,TV,Galaxy Angel 4
Comedia,7.19,TV,Galaxy Angel 4
Comedia,7.19,Movie,Doraemon Movie 13: Nobita to Kumo no Oukoku
Acción y Aventura,7.19,Movie,Doraemon Movie 13: Nobita to Kumo no Oukoku
Fantásticos y Experimentales,7.19,Movie,Doraemon Movie 14: Nobita to Buriki no Labyrinth
Emocionales y Humanistas,7.19,TV,Lady Georgie
Acción y Aventura,7.19,TV,Re-Main
Emocionales y Humanistas,7.19,OVA,Ace wo Nerae! 2
Acción y Aventura,7.19,OVA,Ace wo Nerae! 2
Emocionales y Humanistas,7.19,OVA,Video Girl Ai
Comedia,7.19,OVA,Video Girl Ai
Íntimos y Adultos,7.19,OVA,Video Girl Ai
Emocionales y Humanistas,7.19,TV,Aikatsu Friends!
Fantásticos y Experimentales,7.19,TV,Brigadoon: Marin to Melan
Emocionales y Humanistas,7.19,TV,Brigadoon: Marin to Melan
Comedia,7.19,TV,Brigadoon: Marin to Melan
Acción y Aventura,7.19,TV,Brigadoon: Marin to Melan
Comedia,7.19,TV,Tantei Opera Milky Holmes Dai 2 Maku
Misterio y Terror,7.19,TV,Tantei Opera Milky Holmes Dai 2 Maku
Fantásticos y Experimentales,7.19,Movie,Cencoroll Connect
Acción y Aventura,7.19,Movie,Cencoroll Connect
Fantásticos y Experimentales,7.19,TV Special,One Piece: Episode of Sorajima
Acción y Aventura,7.19,TV Special,One Piece: Episode of Sorajima
Íntimos y Adultos,7.18,OVA,Konomi ja Nai kedo: Mukatsuku Ane to Aishou Batsugun Ecchi
Emocionales y Humanistas,7.18,TV,Raise wa Tanin ga Ii
Acción y Aventura,7.18,ONA,Hidari Pilot Film
Íntimos y Adultos,7.18,OVA,Niizuma Koyomi The Animation
Fantásticos y Experimentales,7.18,OVA,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?: Onsen Manyuuki
Comedia,7.18,OVA,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?: Onsen Manyuuki
Íntimos y Adultos,7.18,OVA,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?: Onsen Manyuuki
Íntimos y Adultos,7.18,OVA,Baka Dakedo Chinchin Shaburu no dake wa Jouzu na Chii-chan♡
Comedia,7.18,Movie,Crayon Shin-chan Movie 24: Bakusui! Yumemi World Dai Totsugeki
Fantásticos y Experimentales,7.18,Special,Jinrui wa Suitai Shimashita Specials
Comedia,7.18,Special,Jinrui wa Suitai Shimashita Specials
Fantásticos y Experimentales,7.18,Special,Suisei no Gargantia Specials
Acción y Aventura,7.18,Special,Suisei no Gargantia Specials
Acción y Aventura,7.18,Movie,Yowamushi Pedal: Re:Generation
Comedia,7.18,Special,Ansatsu Kyoushitsu: Jump Festa 2013 Special
Acción y Aventura,7.18,Special,Ansatsu Kyoushitsu: Jump Festa 2013 Special
Comedia,7.18,ONA,Jashin-chan Dropkick Episode 12
Acción y Aventura,7.18,ONA,Jashin-chan Dropkick Episode 12
Fantásticos y Experimentales,7.18,OVA,Owari no Seraph: Kyuuketsuki Shahar
Emocionales y Humanistas,7.18,OVA,Owari no Seraph: Kyuuketsuki Shahar
Acción y Aventura,7.18,OVA,Owari no Seraph: Kyuuketsuki Shahar
Acción y Aventura,7.18,OVA,Mirai Nikki
Misterio y Terror,7.18,OVA,Mirai Nikki
Fantásticos y Experimentales,7.18,TV,Beyblade Burst God
Acción y Aventura,7.18,TV,Beyblade Burst God
Comedia,7.18,Special,Kuroko no Basket: Oshaberi Shiyou ka
Acción y Aventura,7.18,Special,Kuroko no Basket: Oshaberi Shiyou ka
Fantásticos y Experimentales,7.18,TV,Star Driver: Kagayaki no Takuto
Emocionales y Humanistas,7.18,TV,Star Driver: Kagayaki no Takuto
Acción y Aventura,7.18,TV,Star Driver: Kagayaki no Takuto
Comedia,7.18,Special,Hetalia: The World Twinkle Specials
Fantásticos y Experimentales,7.18,TV,07-Ghost
Acción y Aventura,7.18,TV,07-Ghost
Fantásticos y Experimentales,7.18,TV Special,One Piece: Episode of Alabasta - Prologue
Acción y Aventura,7.18,TV Special,One Piece: Episode of Alabasta - Prologue
Fantásticos y Experimentales,7.18,TV,God Eater
Acción y Aventura,7.18,TV,God Eater
Fantásticos y Experimentales,7.18,TV,Oh! Edo Rocket
Emocionales y Humanistas,7.18,TV,Oh! Edo Rocket
Comedia,7.18,TV,Oh! Edo Rocket
