categoria,score,type,name
Acción y Aventura,8.77,TV,Shingeki no Kyojin: The Final Season Part 2
Misterio y Terror,8.77,TV,Shingeki no Kyojin: The Final Season Part 2
Emocionales y Humanistas,8.76,TV,Ashita no Joe 2
Acción y Aventura,8.76,TV,Ashita no Joe 2
Emocionales y Humanistas,8.76,TV,Monogatari Series: Second Season
Comedia,8.76,TV,Monogatari Series: Second Season
Acción y Aventura,8.76,TV,Monogatari Series: Second Season
Misterio y Terror,8.76,TV,Monogatari Series: Second Season
Fantásticos y Experimentales,8.75,TV,Cowboy Bebop
Acción y Aventura,8.75,TV,Cowboy Bebop
Emocionales y Humanistas,8.74,TV,Kaoru Hana wa Rin to Saku
Acción y Aventura,8.74,Movie,Kimetsu no Yaiba Movie 1: Mugenjou-hen - Akaza Sairai
Comedia,8.74,TV,Bocchi the Rock!
Acción y Aventura,8.73,ONA,Tu Bian Yingxiong X
Emocionales y Humanistas,8.73,Movie,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai
Comedia,8.73,Movie,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai
Acción y Aventura,8.73,TV,Kingdom 4th Season
Acción y Aventura,8.73,TV,Jujutsu Kaisen 2nd Season
Fantásticos y Experimentales,8.73,TV,One Piece
Acción y Aventura,8.73,TV,One Piece
Emocionales y Humanistas,8.72,TV,Boku no Kokoro no Yabai Yatsu 2nd Season
Comedia,8.72,TV,Boku no Kokoro no Yabai Yatsu 2nd Season
Acción y Aventura,8.72,TV,Kingdom 5th Season
Emocionales y Humanistas,8.72,TV,Hibike! Euphonium 3
Emocionales y Humanistas,8.72,TV,Mushishi Zoku Shou 2nd Season
Acción y Aventura,8.72,TV,Mushishi Zoku Shou 2nd Season
Misterio y Terror,8.72,TV,Mushishi Zoku Shou 2nd Season
Acción y Aventura,8.72,Movie,The First Slam Dunk
Emocionales y Humanistas,8.72,ONA,Shiguang Dailiren
Misterio y Terror,8.72,ONA,Shiguang Dailiren
Fantásticos y Experimentales,8.72,TV,86 Part 2
Emocionales y Humanistas,8.72,TV,86 Part 2
Acción y Aventura,8.72,TV,86 Part 2
Fantásticos y Experimentales,8.71,TV,Code Geass: Hangyaku no Lelouch
Emocionales y Humanistas,8.71,TV,Code Geass: Hangyaku no Lelouch
Acción y Aventura,8.71,TV,Code Geass: Hangyaku no Lelouch
Comedia,8.71,TV,Mob Psycho 100 III
Acción y Aventura,8.71,TV,Mob Psycho 100 III
Acción y Aventura,8.71,TV,Kimetsu no Yaiba: Yuukaku-hen
Acción y Aventura,8.7,TV,Bleach: Sennen Kessen-hen - Ketsubetsu-tan
Emocionales y Humanistas,8.7,TV,Chi. Chikyuu no Undou ni Tsuite
Emocionales y Humanistas,8.7,TV,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen
Emocionales y Humanistas,8.69,TV,Violet Evergarden
Emocionales y Humanistas,8.69,OVA,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen
Acción y Aventura,8.69,OVA,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen
Emocionales y Humanistas,8.68,TV,Mushishi Zoku Shou
Acción y Aventura,8.68,TV,Mushishi Zoku Shou
Misterio y Terror,8.68,TV,Mushishi Zoku Shou
Comedia,8.68,TV,Great Teacher Onizuka
Fantásticos y Experimentales,8.68,ONA,Mo Dao Zu Shi: Wanjie Pian
Emocionales y Humanistas,8.68,ONA,Mo Dao Zu Shi: Wanjie Pian
Acción y Aventura,8.68,ONA,Mo Dao Zu Shi: Wanjie Pian
Misterio y Terror,8.68,ONA,Mo Dao Zu Shi: Wanjie Pian
Acción y Aventura,8.67,TV,Bleach: Sennen Kessen-hen - Soukoku-tan
Acción y Aventura,8.67,TV,Hajime no Ippo: New Challenger
Fantásticos y Experimentales,8.67,Movie,Howl no Ugoku Shiro
Emocionales y Humanistas,8.67,Movie,Howl no Ugoku Shiro
